,GameID,Half,PlayerID,FrameID,Time,GameClock,Speed,AccelImpulse,AccelLoad,AccelX,AccelY,AccelZ,Longitude,Latitude
79504,1,2,6,1,00:32:58,00:07:00,0.0,0.0,0.0015995682387268575,-0.08125,0.7949999999999999,0.765,55.46665933,24.99484667
79505,1,2,6,2,00:32:58,00:07:00,0.0,0.0,0.0009267766952966367,-0.0875,0.8,0.76,55.46665933,24.99484667
79506,1,2,6,3,00:32:58,00:07:00,0.0,0.0,0.001236615278374024,-0.0875,0.77125,0.765,55.46665933,24.99484667
79507,1,2,6,4,00:32:58,00:07:00,0.0,0.0,0.0006035533905932733,-0.12,0.7587499999999999,0.7975,55.46665933,24.99484683
79508,1,2,6,5,00:32:58,00:07:00,0.0,0.0,0.0011615660924854936,-0.13,0.755,0.795,55.46665933,24.994847
79509,1,2,6,6,00:32:58,00:07:00,0.0,0.0,0.0006553300858899103,-0.1375,0.7275,0.80625,55.46665933,24.99484717
79510,1,2,6,7,00:32:58,00:07:00,0.0,0.0,0.0008017766952966393,-0.1375,0.7075,0.8275,55.46665933,24.99484717
79511,1,2,6,8,00:32:58,00:07:00,0.0,0.0,0.0015428020990810747,-0.14250000000000002,0.70625,0.8262499999999999,55.4666595,24.99484733
79512,1,2,6,9,00:32:58,00:07:00,0.0,0.0,0.0016930762509512658,-0.13625,0.74125,0.80125,55.4666595,24.99484733
79513,1,2,6,10,00:32:59,00:07:01,0.0,0.0,0.0021537917158114075,-0.12875,0.74875,0.79625,55.4666595,24.99484733
79514,1,2,6,11,00:32:59,00:07:01,0.0,0.0,0.0010080618877807467,-0.13,0.7362500000000001,0.81375,55.4666595,24.994847500000002
79515,1,2,6,12,00:32:59,00:07:01,0.0,0.0,0.0009330127018922172,-0.13,0.71625,0.8125,55.46665967,24.99484767
79516,1,2,6,13,00:32:59,00:07:01,0.0,0.0,0.0006250000000000016,-0.13625,0.73125,0.8125,55.4666595,24.99484767
